2026-04-09 13:42:44,462 | INFO | Loading dataset from D:\GitHub\HyperBranch\datasets\agriculture
2026-04-09 13:42:44,462 | INFO | Using GraphML file graph_chunk_entity_relation.graphml
2026-04-09 13:42:47,341 | INFO | Starting HyperBranch pipeline for question: What region is known for its robust distribution network for local food and has a college operating a farm for over a hundred years?
2026-04-09 13:42:50,446 | INFO | TaskFrame created with 5 anchors, 2 constraints, 2 bridges
2026-04-09 13:43:13,265 | INFO | Anchored task frame with 5 initial entities and 3 initial hyperedges
2026-04-09 13:43:13,265 | INFO | Created reasoning thought th-0001 (root)
2026-04-09 13:43:13,268 | INFO | Created reasoning thought th-0002 (grounded)
2026-04-09 13:43:18,725 | INFO | Registered reasoning thought th-0002 to TaskFrame slots constraint-0
2026-04-09 13:43:18,726 | INFO | Control state iteration=1 weights={'constraint': 0.3333333333333333, 'relation': 0.3333333333333333, 'anchor': 0.3333333333333333} focus=[] missing=[]
2026-04-09 13:43:18,726 | INFO | Iterative reasoning step 1/3
2026-04-09 13:43:20,388 | INFO | Retrieved 12 branch candidates for constraint with queries=['What region is known for its robust distribution network for local food and has a college operating a farm for over a hundred years?', 'robust distribution network for local food', 'college operating a farm for over a hundred years', 'region', 'distribution network', 'local food', 'college', 'farm'] and weights={'constraint': 0.3333333333333333, 'relation': 0.3333333333333333, 'anchor': 0.3333333333333333}
2026-04-09 13:43:20,390 | INFO | Created reasoning thought th-0003 (searched)
2026-04-09 13:43:21,097 | INFO | Registered reasoning thought th-0003 to TaskFrame slots bridge-0
2026-04-09 13:43:22,790 | INFO | Retrieved 12 branch candidates for relation with queries=['What region is known for its robust distribution network for local food and has a college operating a farm for over a hundred years?', 'identifying a region with a specific agricultural characteristic', 'What region has a distribution network for local food and a college with a farm?', 'region', 'distribution network', 'local food', 'college', 'farm'] and weights={'constraint': 0.3333333333333333, 'relation': 0.3333333333333333, 'anchor': 0.3333333333333333}
2026-04-09 13:43:22,791 | INFO | Created reasoning thought th-0004 (searched)
2026-04-09 13:43:24,428 | INFO | Registered reasoning thought th-0004 to TaskFrame slots anchor-2
2026-04-09 13:43:25,747 | INFO | Retrieved 12 branch candidates for anchor with queries=['What region is known for its robust distribution network for local food and has a college operating a farm for over a hundred years?', 'region', 'distribution network', 'local food', 'college', 'farm', 'geographical region'] and weights={'constraint': 0.3333333333333333, 'relation': 0.3333333333333333, 'anchor': 0.3333333333333333}
2026-04-09 13:43:25,766 | INFO | Created reasoning thought th-0005 (searched)
2026-04-09 13:43:30,252 | INFO | Selected 2 expansion frontier entities from 5 coarse candidates
2026-04-09 13:43:30,253 | INFO | Created reasoning thought th-0007 (merged)
